run_id,mall_id,name,center_lon,center_lat,buffer_radius_m,tile_count,downloaded_tile_count,roof_candidate_tile_count,roof_candidate_count,roof_area_m2_est,existing_pv_tile_count,existing_pv_area_m2_est,install_condition_score,install_condition_level,review_required,review_status,evidence_dir,review_mosaic_path,method,notes,image_status,error
20260713_shanghai_A_bdappv_singlemap_v2,599,上海崇明万达广场（A馆）,121.41323347,31.62789005,1000,1,1,1,10,193760.4,1,150.99,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_599_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,624,上海周浦万达广场,121.56545586,31.11670106,1000,1,1,1,4,41684.63,1,511.5,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_624_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,645,上海TODTOWN天荟,121.38237709,31.11174119,1000,1,1,1,5,41943.32,1,256.95,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_645_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,714,上海松江印象城一期,121.21817699,31.06364310,1000,1,1,1,23,487709.26,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_714_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,761,上海中庚漫游城,121.39284583,31.13294840,1000,1,1,1,8,102969.04,1,266.77,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_761_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,772,上海元祖梦世界,121.22162412,31.15037156,1000,1,1,1,16,702518.25,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_772_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,782,上海七宝宝龙城,121.35021516,31.16070768,1000,1,1,1,4,44235.81,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_782_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,790,上海东渡蛙城,121.07701487,31.13688668,1000,1,1,1,5,328987.58,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_790_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,837,上海荟聚,121.35211062,31.22344032,1000,1,1,1,10,168499.45,1,361.7,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_837_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,847,上海国家会展中心商业广场,121.29768777,31.19149062,1000,1,1,1,9,1226293.39,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_847_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,922,上海颛桥万达广场,121.40165042,31.07292162,1000,1,1,1,8,73623.21,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_922_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,947,上海虹桥前湾印象城,121.27301367,31.21799803,1000,1,1,1,6,83950.63,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_947_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,987,上海日月光中心,121.46383641,31.20867246,1000,1,1,1,17,152175.72,1,366.77,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_987_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,991,上海五角场合生汇,121.51351415,31.30176747,1000,1,1,1,21,237290.21,1,389.22,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_991_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,992,上海青浦合生新天地,121.22432598,31.15341506,1000,1,1,1,20,793659.61,1,916.95,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_992_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,994,上海世纪汇广场,121.52281256,31.22943928,1000,1,1,1,25,338465.58,1,162.45,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_994_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1017,龙湖上海奉贤天街,121.49319595,30.91532763,1000,1,1,1,3,44727.67,1,655.4,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1017_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1146,上海周浦海印又一城,121.59622633,31.11752658,1000,1,1,1,5,62160.21,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1146_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1211,上海LCM置汇旭辉广场,121.55109458,31.24498431,1000,1,1,1,12,101759.81,1,689.45,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1211_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1212,上海LuOne凯德晶萃广场,121.47203205,31.21201268,1000,1,1,1,15,161794.26,1,551.42,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1212_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1251,上海国际时尚中心,121.55432924,31.27307747,1000,1,1,1,15,413580.32,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1251_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1283,上海龙光蓝鲸世界,121.89206708,30.89843528,1000,1,1,1,5,70708.3,1,580.8,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1283_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1313,上海LaLaport啦啦宝都,121.59954034,31.25490080,1000,1,1,1,19,753453.03,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1313_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1379,上海百联嘉定购物中心,121.27397707,31.38816939,1000,1,1,1,11,241621.5,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1379_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1384,上海徐家汇中心,121.43007671,31.19553943,1000,1,1,1,6,39512.2,1,588.93,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1384_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1415,上海港汇恒隆广场,121.43243546,31.19673632,1000,1,1,1,6,63554.89,0,0.0,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1415_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1436,上海首位SHOWAY一期,121.28829758,31.19173809,1000,1,1,1,5,1171541.74,1,2045.1,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1436_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
20260713_shanghai_A_bdappv_singlemap_v2,1488,上海莘庄维璟印象城,121.35918068,31.13282578,1000,1,1,1,11,169891.15,1,515.24,1.0,high,1,pending,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images,C:\PV\outputs\experiments\mall_pv_potential_screening\20260713_shanghai_A_bdappv_singlemap_v2\images\review_mosaics\mall_1488_review_mosaic.jpg,single_map_z18+roof_heuristic_v0+pv_bdappv,One complete high-resolution map; PV uses BDAPPV; roof potential uses OpenCV; manual review required,ok,
